,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
0,사랑하기 싫어,지아,2023.02.24,발라드,289,"28,217",0,"38,357",32,3.66955,133.722,4,5,1,0.311,0.442,0.692,-3.886,0.0473,0.729,0.0,0.185
1,너를 보는게 지친 하루에,송하예,2023.03.19,발라드,0,"15,463",2,"16,406",30,3.762883333,75.337,4,11,1,0.256,0.437,0.56,-3.325,0.0301,0.365,0.0,0.178
2,사랑인가 봐,멜로망스,2022.02.18,"발라드, 국내드라마",256,"181,361",2,"87,991",24,3.083333333,171.594,4,8,1,0.631,0.402,0.731,-3.529,0.0693,0.508,0.0,0.146
3,너의 모든 순간,성시경,2014.02.12,"발라드, 국내드라마",453,"257,711",0,"116,656",30,4.0554,139.982,4,10,1,0.244,0.366,0.385,-7.952,0.0336,0.816,0.0,0.0872
4,나비무덤,포맨 (4MEN),2023.03.01,발라드,93,"16,493",2,"42,728",50,4.488883333,68.197,4,4,1,0.189,0.466,0.503,-4.868,0.0367,0.555,0.0,0.13
5,사랑은 늘 도망가,임영웅,2021.10.11,"발라드, 국내드라마","8,568","192,192",1,"128,987",34,3.931833333,139.332,4,9,1,0.188,0.35,0.252,-10.603,0.0387,0.811,0.0,0.103
6,결국엔 너에게 닿아서,WSG워너비 (가야G),2023.03.17,발라드,190,"12,925",2,"5,458",41,3.456216667,115.936,4,6,1,0.348,0.629,0.734,-1.513,0.031,0.528,0.0,0.103
7,Monologue,테이,2022.09.18,발라드,277,"81,128",0,"11,838",47,4.364883333,78.967,4,1,0,0.375,0.481,0.745,-3.355,0.0449,0.178,0.0,0.321
8,해요 (2022),#안녕,2022.06.07,"발라드, 인디음악",133,"76,828",0,"8,884",35,3.96785,70.004,4,4,1,0.29,0.453,0.522,-5.013,0.0521,0.647,0.0,0.105
9,Say I Love You,우디 (Woody),2022.12.21,발라드,77,"53,266",2,"8,072",49,3.591333333,136.086,4,11,1,0.543,0.668,0.578,-6.523,0.0363,0.808,0.0,0.12
10,취중고백,김민석 (멜로망스),2021.12.19,발라드,407,"162,708",0,"17,626",40,3.799333333,121.797,4,11,1,0.264,0.562,0.454,-6.858,0.0322,0.584,0.0,0.142
11,내가 아니라도,주호,2022.03.25,발라드,198,"96,328",0,"6,528",37,4.12955,133.154,4,11,1,0.228,0.431,0.499,-4.995,0.0365,0.0431,0.0,0.325
12,되돌리다,먼데이 키즈 (Monday Kiz),2023.03.19,발라드,38,"8,288",0,"38,765",34,4.494216667,143.864,4,11,1,0.378,0.432,0.569,-6.453,0.0321,0.557,0.0,0.0823
13,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),2022.07.09,발라드,893,"127,572",1,"5,458",50,3.71555,118.023,4,7,1,0.29,0.575,0.794,-2.673,0.0392,0.213,0.0,0.365
14,다정히 내 이름을 부르면,경서예지,2021.05.19,발라드,328,"167,552",2,"7,229",56,3.85565,143.643,4,7,1,0.236,0.382,0.672,-2.836,0.032,0.351,0.0,0.144
15,우리들의 블루스,임영웅,2022.05.02,발라드,"3,778","90,134",1,"128,987",30,3.45645,130.94,4,1,1,0.273,0.381,0.405,-7.325,0.0325,0.629,0.0,0.418
16,봄 사랑 벚꽃 말고,HIGH4 (하이포),2014.04.08,발라드,417,"219,312",2,"2,128",57,3.254416667,79.988,4,7,1,0.793,0.77,0.484,-6.626,0.0538,0.464,0.0,0.44
17,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,2018.03.20,"발라드, 국내드라마","1,073","418,707",0,"160,524",29,3.508216667,133.25,4,8,1,0.153,0.47,0.288,-9.434,0.0279,0.859,1.78e-05,0.103
18,나의 X에게,경서,2022.04.24,발라드,337,"140,973",2,"15,692",54,3.128883333,94.023,4,3,1,0.515,0.701,0.553,-3.393,0.0287,0.528,0.0,0.147
19,그대를 알고,송하예,2022.12.13,발라드,93,"35,228",1,"16,406",34,4.124733333,130.877,4,5,1,0.131,0.429,0.578,-5.222,0.0442,0.537,0.0,0.0767
20,잘가요,주호,2022.12.04,발라드,156,"35,260",1,"6,528",32,4.226666667,133.785,4,4,1,0.227,0.445,0.507,-4.87,0.0309,0.118,0.0,0.103
21,사랑하지 않아서 그랬어,임한별,2023.04.02,발라드,61,"6,786",2,"18,712",38,3.73045,127.785,4,4,1,0.196,0.376,0.622,-4.398,0.0493,0.448,0.0,0.138
22,그대라는 사치,임창정,2023.03.12,발라드,61,"8,628",0,"90,427",46,4.9472,135.85,4,6,1,0.269,0.563,0.444,-6.179,0.0448,0.512,0.0,0.106
23,다시 만날 수 있을까,임영웅,2022.05.02,발라드,"2,232","72,889",4,"128,987",40,4.573116667,129.74,4,1,1,0.327,0.401,0.394,-6.655,0.0324,0.748,0.0,0.0993
24,발걸음,DK(디셈버),2023.03.30,발라드,43,"4,429",2,"6,225",34,4.151783333,135.984,4,2,1,0.172,0.417,0.636,-7.862,0.0421,0.68,0.0,0.103
25,혼자가 아닌 나,정효빈,2023.03.01,발라드,48,"13,268",1,"7,740",36,3.4188,120.034,4,9,1,0.434,0.773,0.621,-4.808,0.0265,0.239,0.0,0.137
26,너와 함께,김민석 (멜로망스),2023.02.26,"발라드, 인디음악",59,"15,050",0,"17,626",31,4.366666667,125.32,4,3,1,0.215,0.331,0.447,-6.892,0.031,0.772,0.0,0.121
27,우연히 봄,로꼬,2015.04.08,"발라드, 랩/힙합, 국내드라마",742,"162,232",3,"116,152",86,3.35,98.032,4,7,1,0.556,0.788,0.749,-3.959,0.0692,0.636,0.0,0.208
28,마지막 사랑,신예영,2023.01.12,발라드,87,"23,261",1,"8,561",30,4.90205,129.479,4,6,1,0.137,0.331,0.509,-6.231,0.0331,0.565,0.0,0.108
29,그댄 행복에 살텐데 (2022),최유리,2022.12.27,"발라드, 인디음악",58,"32,895",0,"21,813",34,4.581333333,123.9,4,5,1,0.255,0.542,0.441,-8.936,0.0337,0.72,0.0,0.146
30,밤하늘의 별을(2020),경서,2020.11.14,발라드,"3,196","218,173",2,"15,692",45,3.620883333,154.133,4,3,1,0.691,0.583,0.643,-5.338,0.0775,0.492,0.0,0.225
31,떠나보낼 준비해 둘걸 그랬어,임한별,2022.10.18,발라드,75,"37,897",0,"18,712",35,3.95045,129.023,4,8,1,0.208,0.402,0.584,-4.946,0.0332,0.595,0.0,0.121
32,네가 보고 싶은 건 자연스러운 거겠지,신예영,2023.01.24,발라드,120,"22,789",2,"8,561",44,4.109333333,133.318,4,10,1,0.238,0.406,0.45,-5.754,0.034,0.601,0.0,0.106
33,아버지,임영웅,2022.05.02,발라드,557,"50,344",0,"128,987",26,3.475783333,106.0,4,4,1,0.58,0.67,0.903,-4.239,0.152,0.0167,0.0,0.153
34,희재,성시경,2003.02.01,"발라드, 국내영화",330,"133,545",0,"116,656",42,4.688566667,120.18,4,4,1,0.164,0.457,0.499,-6.655,0.0318,0.422,0.0,0.331
35,가질 수 없는 너,#안녕,2023.04.06,발라드,14,"4,198",0,"8,884",32,3.948033333,152.906,4,9,1,0.203,0.405,0.562,-4.897,0.0348,0.742,0.0,0.198
36,인생찬가,임영웅,2022.05.02,발라드,508,"47,042",0,"128,987",23,3.889333333,139.694,4,7,1,0.173,0.279,0.515,-4.511,0.0305,0.75,0.000114,0.188
37,바보가슴,송하예,2023.04.03,발라드,18,"3,009",0,"16,406",33,4.084216667,137.868,4,1,1,0.358,0.548,0.621,-3.938,0.0306,0.482,0.0,0.219
38,내 손을 잡아,아이유,2011.05.25,"발라드, 국내드라마","1,115","206,897",1,"752,977",94,3.25355,96.045,4,9,1,0.411,0.636,0.665,-5.012,0.0322,0.262,0.0,0.353
39,사랑의 인사,김연지,2023.03.15,발라드,22,"6,245",2,"11,913",39,4.501766667,100.994,4,8,1,0.173,0.512,0.659,-5.381,0.0406,0.467,0.0,0.292
40,새벽에 걸려온 너의 전화는,한동근,2022.07.31,발라드,75,"54,101",1,"28,645",34,3.960883333,135.745,4,4,1,0.169,0.529,0.499,-6.37,0.0324,0.476,0.0,0.0949
41,니 번호가 뜨는 일,이예준,2023.01.17,발라드,49,"19,797",0,"18,314",44,4.023116667,135.612,4,11,1,0.226,0.454,0.626,-3.357,0.0436,0.558,0.0,0.109
42,그대가 내 안에 박혔다(그내박),순순희(기태),2023.01.23,"발라드, 인디음악",39,"12,100",2,218,40,3.622216667,133.339,4,5,1,0.201,0.444,0.656,-3.995,0.0374,0.612,0.0,0.151
43,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),2019.09.25,발라드,"2,451","402,285",2,"228,980",34,4.834933333,129.214,4,5,1,0.228,0.52,0.248,-8.675,0.0355,0.91,1.36e-06,0.118
44,다시 사랑한다면 (니글니글 버터플라이),김필,2016.02.21,발라드,205,"99,957",0,"50,232",28,4.040333333,150.686,4,8,1,0.237,0.247,0.47,-5.586,0.0339,0.595,0.0,0.131
45,선물,멜로망스,2017.07.10,"발라드, 인디음악",849,"344,035",2,"87,991",31,4.418616667,139.968,4,11,1,0.106,0.45,0.519,-5.38,0.0287,0.5,0.0,0.54
46,드라마,아이유,2021.12.29,발라드,655,"176,558",0,"752,977",25,2.135116667,105.941,3,0,1,0.575,0.847,0.273,-5.487,0.0361,0.804,0.0,0.145
47,혼자서 걸어요 (Prod. by 나얼),태연 (TAEYEON),2023.02.02,발라드,226,"24,347",4,"245,641",47,4.344466667,139.737,4,5,1,0.179,0.322,0.422,-5.005,0.0292,0.752,0.0,0.483
48,우린 그렇게 사랑해서,강민경 (다비치),2022.09.26,발라드,232,"63,831",2,"9,924",32,3.69845,66.007,4,4,1,0.162,0.49,0.454,-6.178,0.0303,0.728,0.0,0.105
49,어른,Sondia,2018.03.29,"발라드, 국내드라마",784,"207,966",1,"9,015",40,4.33145,119.829,4,2,1,0.0989,0.447,0.32,-7.159,0.0356,0.777,0.00265,0.0968
50,눈이 오잖아(Feat.헤이즈),이무진,2021.12.03,발라드,567,"113,831",2,"55,660",66,3.283333333,113.047,4,8,0,0.639,0.677,0.795,-3.789,0.0494,0.0376,4.82e-06,0.0966
51,밤편지,아이유,2017.03.24,발라드,"2,460","453,500",2,"752,977",27,4.22155,78.723,4,8,1,0.284,0.428,0.313,-7.327,0.0391,0.757,0.0,0.309
52,그중에 그대를 만나,김호중,2022.09.24,"발라드, 국내드라마",248,"19,235",1,"46,318",33,4.309816667,183.314,3,1,1,0.236,0.207,0.446,-6.012,0.0347,0.851,5.02e-05,0.12
53,이젠 안녕,투모로우바이투게더,2023.02.22,발라드,623,"45,481",2,"139,417",45,4.608666667,135.881,4,2,1,0.254,0.583,0.389,-7.334,0.0278,0.213,0.0,0.156
54,사랑해도 될까요,양다일,2023.01.15,발라드,35,"16,018",0,"62,723",36,3.788183333,136.035,4,2,1,0.46,0.593,0.416,-13.321,0.0378,0.541,3.01e-06,0.343
55,언제나 사랑해,케이시 (Kassy),2022.02.07,발라드,181,"68,453",0,"53,375",34,3.396883333,71.075,4,7,1,0.375,0.421,0.715,-2.067,0.0369,0.403,0.0,0.0952
56,스티커 사진,21학번,2022.07.12,"발라드, 인디음악",104,"53,309",1,"2,830",44,3.137333333,94.024,4,8,1,0.56,0.743,0.377,-5.463,0.031,0.61,0.0,0.0808
57,취기를 빌려 (취향저격 그녀 X 산들),산들,2020.07.20,발라드,"2,071","230,333",0,"24,690",42,3.799783333,93.931,4,1,1,0.549,0.697,0.447,-6.552,0.0264,0.769,0.0,0.115
58,너 하나 빼는 일,허각,2023.03.09,발라드,14,"4,225",0,"54,521",39,3.617116667,135.252,4,6,1,0.262,0.37,0.608,-3.398,0.0327,0.651,0.0,0.124
59,첫눈처럼 너에게 가겠다,에일리(Ailee),2017.01.07,"발라드, 국내드라마","1,103","349,071",0,"106,552",35,3.827966667,133.675,4,5,0,0.167,0.497,0.431,-4.755,0.0287,0.66,0.0,0.153
60,너의 번호를 누르고 (Prod. 영화처럼),#안녕,2019.11.30,"발라드, 인디음악",271,"125,385",0,"8,884",46,4.158083333,135.774,4,4,1,0.156,0.48,0.549,-3.18,0.0325,0.756,0.0,0.107
61,나는 잘 지내 (Feat. 정승환),정키,2023.04.04,발라드,42,"2,818",2,"35,518",33,4.452666667,74.078,4,4,0,0.19,0.341,0.383,-6.96,0.0419,0.268,0.0,0.141
62,Love Blossom (러브블러썸),케이윌,2013.04.04,발라드,229,"118,872",2,"83,980",84,3.593616667,170.953,4,1,1,0.606,0.494,0.684,-4.577,0.0476,0.515,0.0,0.128
63,이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM),딘딘 (DINDIN),2021.10.14,발라드,166,"86,389",1,"13,758",68,3.52,113.03,4,1,1,0.627,0.768,0.517,-5.839,0.0573,0.482,0.0,0.0844
64,고백,멜로망스,2021.08.29,"발라드, 인디음악",146,"99,493",2,"87,991",38,3.547266667,94.081,4,9,1,0.257,0.615,0.701,-4.258,0.031,0.06,0.0,0.114
65,아로하,조정석,2020.03.27,"발라드, 국내드라마","1,360","243,740",1,"17,788",53,4.422983333,202.018,4,3,1,0.538,0.529,0.754,-4.209,0.0551,0.516,0.0,0.197
66,거리에서,성시경,2006.10.10,발라드,194,"136,725",1,"116,656",116,4.65445,131.82,4,7,1,0.307,0.581,0.482,-7.765,0.0294,0.645,0.0,0.147
67,미친거니,포맨 (4MEN),2023.03.27,발라드,8,"1,768",2,"42,728",27,3.845466667,169.852,4,6,1,0.235,0.542,0.712,-4.653,0.114,0.305,0.0,0.128
68,바라만 본다,MSG워너비(M.O.M),2021.06.26,발라드,"1,942","183,785",1,"7,598",40,4.036883333,69.861,4,8,1,0.235,0.422,0.14,-10.577,0.0291,0.837,0.0,0.123
69,어디에도,엠씨더맥스 (M.C the MAX),2016.01.28,발라드,704,"237,664",3,"110,780",44,5.51925,131.674,4,6,1,0.331,0.451,0.449,-6.104,0.0301,0.574,0.0,0.11
70,너였다면,정승환,2016.05.31,"발라드, 국내드라마",364,"233,184",0,"101,785",54,4.54745,135.221,4,2,1,0.199,0.387,0.515,-5.529,0.0338,0.686,0.0,0.16
71,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),2022.05.19,발라드,54,"59,435",3,"53,375",26,2.73755,97.01,4,0,1,0.539,0.812,0.626,-3.842,0.0534,0.241,0.0,0.119
72,늦은 밤 너의 집 앞 골목길에서,노을,2019.11.07,발라드,"1,467","206,774",3,"40,467",26,3.60045,67.347,4,6,1,0.342,0.475,0.458,-5.72,0.0444,0.672,0.0,0.0814
73,사랑한다고 말해줘,탑현,2022.08.07,발라드,77,"60,859",0,"5,587",35,3.321116667,106.986,4,1,1,0.625,0.716,0.557,-5.889,0.0308,0.776,0.0,0.121
74,당신을 만나,김호중,2023.01.25,발라드,208,"15,558",0,"46,318",27,3.980216667,95.016,3,1,1,0.248,0.559,0.641,-3.231,0.0246,0.507,0.0,0.148
75,꽃,양다일,2023.03.26,발라드,9,"3,128",0,"62,723",37,1.6648,149.939,3,7,1,0.223,0.675,0.242,-14.783,0.049,0.986,0.92,0.0989
76,추억은 만남보다 이별에 남아,정동하,2021.01.31,발라드,393,"100,874",2,"11,311",34,4.418883333,133.793,4,10,1,0.195,0.522,0.547,-3.529,0.0288,0.754,0.0,0.119
77,걸음을 멈추는 날,나얼,2023.02.27,발라드,162,"12,053",4,"52,169",38,4.742933333,139.226,4,1,0,0.17,0.299,0.375,-6.983,0.0309,0.797,4.32e-06,0.0926
78,Timeless,SG 워너비,2004.01.20,발라드,594,"116,419",1,"58,149",43,3.066666667,180.122,4,5,0,0.325,0.569,0.761,-6.071,0.475,0.261,6.71e-06,0.0748
79,낮에 뜨는 달 (낮에 뜨는 달 X 안예은),안예은,2023.03.19,발라드,100,"7,805",0,"49,688",32,2.5,156.007,4,9,0,1e-05,0.103,0.991,-22.856,0.0479,0.141,0.996,0.64
80,그 겨울이 잠든 거리에서,경서예지,2022.12.11,발라드,80,"18,565",2,"7,229",51,4.121733333,114.935,4,10,1,0.349,0.638,0.719,-3.109,0.0354,0.418,0.0,0.11
81,있잖아,폴킴,2017.07.21,"발라드, 국내드라마",228,"135,196",2,"160,524",39,3.466466667,101.906,4,1,0,0.433,0.591,0.522,-8.483,0.0305,0.779,0.0,0.179
82,너를 만나,폴킴,2018.10.29,발라드,968,"317,304",2,"160,524",43,4.67265,143.88,4,0,1,0.337,0.351,0.29,-8.34,0.0296,0.792,0.0,0.312
83,듣고 싶을까,MSG워너비(M.O.M),2022.02.26,발라드,527,"88,052",2,"7,598",31,2.7948,94.037,4,6,1,0.824,0.691,0.769,-2.496,0.044,0.268,0.0,0.653
84,응급실,izi,2005.01.20,"발라드, 국내드라마",183,"107,569",0,"1,296",28,3.7758,139.917,4,3,1,0.217,0.579,0.374,-6.64,0.0272,0.593,0.0,0.114
85,봄인가 봐 (Spring Love),에릭남 (Eric Nam),2016.03.04,발라드,253,"113,957",1,"36,398",43,3.3125,82.861,4,11,1,0.419,0.68,0.391,-6.906,0.0357,0.723,0.0,0.107
86,All For You,서인국,2012.08.28,발라드,196,"174,507",1,"26,101",54,3.645116667,137.047,4,8,1,0.641,0.633,0.754,-6.495,0.0382,0.0316,2.27e-05,0.091
87,기다리다,윤하 (YOUNHA),2006.12.04,발라드,243,"151,556",0,"118,496",49,4.625333333,137.782,4,0,1,0.149,0.513,0.455,-7.044,0.0341,0.739,0.0,0.0988
88,마음을 드려요,아이유,2020.02.15,"발라드, 국내드라마","1,801","244,218",0,"752,977",57,4.672666667,167.332,3,8,1,0.385,0.344,0.43,-5.503,0.0434,0.683,0.0,0.0881
89,너는 기억한다,폴킴,2022.12.30,"발라드, 국내드라마",75,"16,884",1,"160,524",34,3.639116667,137.794,1,7,1,0.253,0.536,0.372,-8.293,0.0288,0.82,1.49e-06,0.113
90,야생화,박효신,2014.03.28,발라드,610,"315,441",3,"232,468",40,5.237566667,134.699,3,8,1,0.247,0.281,0.322,-9.145,0.0309,0.722,0.0,0.12
91,세상에 없는 계절,임재현,2023.01.29,"발라드, 인디음악",42,"13,109",0,"13,413",37,4.5359,72.501,4,5,1,0.287,0.425,0.603,-4.896,0.0397,0.532,0.0,0.133
92,시든 꽃에 물을 주듯,HYNN (박혜원),2019.03.31,발라드,993,"217,349",2,"36,217",31,3.323183333,133.063,4,1,1,0.151,0.416,0.43,-6.117,0.0399,0.591,0.0,0.349
93,가슴으로 운다,김연지,2023.01.11,발라드,49,"11,289",0,"11,913",39,3.593166667,97.0,4,5,1,0.386,0.548,0.697,-2.783,0.0296,0.351,0.0,0.138
94,흩어지지 않게,엠씨더맥스 (M.C the MAX),2022.12.05,발라드,257,"21,808",2,"110,780",45,5.624666667,131.638,4,8,1,0.254,0.394,0.459,-7.079,0.0302,0.569,0.0,0.0976
95,그래서 그대는,이영현,2022.10.10,발라드,90,"19,931",0,"5,830",37,4.410766667,135.459,4,2,1,0.0993,0.344,0.643,-3.945,0.0362,0.368,0.0,0.208
96,Christmas Tree,V,2021.12.24,"발라드, 국내드라마","1,303","114,428",3,"151,620",48,3.499116667,139.009,4,5,1,0.181,0.437,0.384,-8.384,0.042,0.699,2.33e-05,0.121
97,I Need You,허각,2012.08.21,발라드,84,"111,242",0,"54,521",76,2.865416667,70.065,4,11,1,0.195,0.374,0.603,-6.702,0.0462,0.413,0.000278,0.115
98,저녁 하늘,에일리(Ailee),2012.10.16,발라드,323,"175,609",2,"106,552",47,3.927783333,129.006,4,10,1,0.212,0.592,0.601,-3.411,0.0296,0.662,0.0,0.141
99,그리워하다,비투비,2017.10.16,발라드,"4,895","283,519",4,"180,389",50,3.94715,168.05,4,7,1,0.477,0.633,0.736,-5.775,0.131,0.65,0.0,0.128
100,Kitsch,IVE (아이브),2023.03.27,댄스,"1,822","72,124",2,"70,308",77,3.257333333,102.0,4,11,1,0.455,0.8,0.792,-4.953,0.0529,0.0119,1.11e-06,0.0495
101,꽃,지수 (JISOO),2023.03.31,댄스,"1,248","50,916",1,"22,357",29,1.6648,149.939,3,7,1,0.223,0.675,0.242,-14.783,0.049,0.986,0.92,0.0989
102,Ditto,NewJeans,2022.12.19,댄스,"3,017","247,268",3,"110,053",71,3.091783333,133.854,4,6,0,0.183,0.814,0.641,-5.957,0.111,0.027,0.0,0.0993
103,Hype boy,NewJeans,2022.08.01,댄스,"2,001","252,991",7,"110,053",81,2.983783333,99.976,4,4,0,0.783,0.593,0.935,-3.43,0.225,0.268,0.0,0.286
104,OMG,NewJeans,2023.01.02,댄스,"1,695","170,790",4,"110,053",90,3.53755,126.956,4,9,0,0.739,0.804,0.771,-4.067,0.0433,0.357,3.07e-06,0.108
105,Teddy Bear,STAYC(스테이씨),2023.02.14,댄스,"1,605","72,827",3,"48,175",64,3.162883333,119.04,4,7,1,0.686,0.757,0.91,-3.953,0.0524,0.105,0.0,0.387
106,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),2023.02.06,댄스,"4,225","127,254",4,"54,853",71,3.407783333,152.026,4,11,0,0.922,0.707,0.86,-2.935,0.191,0.103,0.0,0.0989
107,Love Me Like This,NMIXX,2023.03.20,댄스,"1,137","28,857",5,"20,509",77,3.145316667,97.031,4,8,0,0.652,0.803,0.805,-4.167,0.064,0.00805,0.0,0.0641
108,Like Crazy,지민,2023.03.24,댄스,"2,137","49,951",2,"143,056",55,3.53735,120.001,4,7,1,0.362,0.629,0.733,-5.445,0.0419,0.0025,0.0,0.357
109,Attention,NewJeans,2022.08.01,댄스,"2,542","218,764",2,"110,053",78,3.001116667,104.988,4,10,0,0.695,0.811,0.648,-3.684,0.0368,0.236,0.0,0.0761
110,Zero,NewJeans,2023.04.03,댄스,753,"31,384",0,"110,053",76,2.5699,171.932,4,1,0,0.578,0.705,0.653,-7.407,0.17,0.31,1.46e-05,0.122
111,After LIKE,IVE (아이브),2022.08.22,댄스,"3,559","222,833",2,"70,309",65,2.94955,125.014,4,0,1,0.799,0.68,0.922,-1.215,0.121,0.103,0.0,0.0877
112,밤이 무서워요 (Lonely Night),주주 시크릿,2023.03.25,댄스,172,"21,151",0,"1,896",33,3.23955,115.012,4,5,0,0.622,0.689,0.899,-3.187,0.0295,0.00249,5.64e-06,0.0317
113,ANTIFRAGILE,LE SSERAFIM (르세라핌),2022.10.17,댄스,"1,956","155,207",3,"47,872",85,3.074066667,105.025,4,10,0,0.824,0.882,0.797,-3.299,0.0819,0.0821,0.0,0.113
114,LOVE DIVE,IVE (아이브),2022.04.05,댄스,"2,728","230,781",2,"70,309",50,2.953116667,117.941,4,1,0,0.538,0.703,0.709,-4.169,0.0433,0.00379,5.43e-05,0.333
115,Candy,NCT DREAM,2022.12.16,댄스,"7,236","145,182",3,"212,898",73,3.792216667,180.064,4,4,1,0.381,0.664,0.667,-5.941,0.154,0.64,1.22e-06,0.0753
116,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),2023.01.05,댄스,"1,047","55,295",2,"2,780",71,3.258,94.019,4,6,1,0.746,0.679,0.87,-2.952,0.0489,0.0709,0.0,0.0711
117,VIBE (feat. Jimin of BTS),태양,2023.01.13,댄스,"1,771","93,589",2,"64,182",76,2.9296,100.049,4,0,1,0.608,0.78,0.683,-5.319,0.0575,0.0801,0.0,0.22
118,Nxde,(여자)아이들,2022.10.17,댄스,"2,285","156,500",4,"126,152",63,2.974216667,135.966,4,4,0,0.648,0.726,0.91,-1.948,0.179,0.0413,7.81e-06,0.479
119,"Young, Dumb, Stupid",NMIXX,2023.03.20,댄스,480,"23,205",1,"20,510",67,3.179783333,187.985,4,2,1,0.724,0.705,0.787,-3.397,0.233,0.049,0.0,0.0998
120,Cookie,NewJeans,2022.08.01,댄스,966,"131,722",1,"110,053",110,3.926033333,156.935,4,0,1,0.661,0.847,0.638,-3.764,0.0575,0.0596,0.0,0.0894
121,Dynamite,방탄소년단,2020.08.24,댄스,"19,340","449,452",4,"708,290",94,3.376883333,119.975,4,4,1,0.816,0.751,0.783,-3.724,0.0859,0.00379,0.0,0.036
122,FEARLESS,LE SSERAFIM (르세라핌),2022.05.02,댄스,"1,823","105,980",3,"47,872",85,4.026533333,100.118,4,5,1,0.43,0.569,0.741,-4.963,0.0282,0.0122,0.0,0.333
123,ELEVEN,IVE (아이브),2021.12.01,댄스,"1,620","179,669",2,"70,309",58,2.974216667,119.978,4,9,1,0.587,0.828,0.731,-3.033,0.111,0.0617,0.0,0.048
124,Poppy (Korean Ver.),STAYC(스테이씨),2023.02.03,댄스,484,"36,115",1,"48,176",71,2.97155,126.047,4,4,0,0.821,0.808,0.786,-3.842,0.0375,0.139,0.0,0.266
125,Butter,방탄소년단,2021.05.21,댄스,"7,901","285,382",2,"708,290",87,3.17595,140.958,4,11,1,0.193,0.763,0.628,-5.85,0.05,0.0531,0.0,0.114
126,That That (prod. & feat. SUGA of BTS),싸이 (PSY),2022.04.29,댄스,"1,249","133,414",3,"49,694",94,2.910783333,129.969,4,4,1,0.906,0.905,0.962,-3.197,0.0856,0.0299,0.0,0.0272
127,Sugar Rush Ride,투모로우바이투게더,2023.01.27,댄스,"5,637","97,709",4,"139,417",72,3.109516667,125.022,4,10,0,0.828,0.712,0.893,-3.995,0.0851,0.00788,0.0,0.169
128,Permission to Dance,방탄소년단,2021.07.09,댄스,"4,367","221,035",2,"708,290",77,3.126416667,124.925,4,9,1,0.646,0.702,0.741,-5.33,0.0427,0.00544,0.0,0.337
129,Say My Name,Say Yes!,2023.04.06,댄스,"1,002","22,406",0,"1,044",96,4.522216667,138.009,4,5,0,0.734,0.713,0.678,-3.525,0.102,0.273,0.0,0.149
130,빙글빙글 (Prod. R.Tee),헤이즈 (Heize),2023.04.05,댄스,76,"4,019",2,"172,477",47,3.011033333,122.967,4,9,0,0.573,0.785,0.728,-4.712,0.0361,0.407,0.00676,0.325
131,D N D,Apink (에이핑크),2023.04.05,댄스,193,"8,525",3,"113,004",64,3.124666667,111.961,4,10,1,0.765,0.789,0.799,-1.56,0.0445,0.417,0.0,0.129
132,All Eyes On Me,지수 (JISOO),2023.03.31,댄스,274,"16,188",0,"22,357",37,2.725383333,110.048,4,8,0,0.628,0.779,0.646,-5.884,0.0388,0.026,2.66e-05,0.0943
133,SET ME FREE,TWICE (트와이스),2023.03.10,댄스,396,"14,340",5,"197,061",62,3.348833333,132.09,4,0,0,0.564,0.585,0.815,-4.165,0.0565,0.115,0.0,0.124
134,Feel My Rhythm,Red Velvet (레드벨벳),2022.03.21,댄스,"1,933","149,212",2,"240,543",82,3.504216667,157.964,4,1,1,0.423,0.412,0.94,-2.171,0.215,0.0648,0.0,0.358
135,WHEN I MOVE,카라,2022.11.29,댄스,883,"50,300",3,"16,031",87,2.972666667,115.779,4,10,0,0.611,0.712,0.849,-2.431,0.209,0.205,0.0,0.0605
136,Cupid,FIFTY FIFTY,2023.02.24,댄스,440,"20,624",1,"3,565",54,2.904216667,120.018,4,11,0,0.726,0.783,0.592,-8.332,0.0331,0.435,4.15e-06,0.347
137,라일락,아이유,2021.03.25,댄스,"2,227","252,381",2,"752,977",68,3.570883333,114.942,4,2,0,0.75,0.738,0.89,-2.275,0.0748,0.0895,1.89e-06,0.213
138,도깨비불 (Illusion),aespa,2022.06.01,댄스,846,"86,562",1,"91,191",75,3.250883333,90.027,4,2,0,0.592,0.75,0.718,-2.817,0.0468,0.0814,1.75e-05,0.322
139,Rover,카이 (KAI),2023.03.13,댄스,268,"15,452",3,"86,683",70,2.90845,186.022,4,1,0,0.545,0.629,0.806,-2.034,0.201,0.0212,0.000487,0.0955
140,Next Level,aespa,2021.05.17,댄스,"5,920","256,112",2,"91,191",92,3.692883333,109.036,4,11,0,0.82,0.82,0.852,-2.567,0.166,0.488,5.94e-06,0.0907
