,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths,song_length,tempo,time_signature,key,mode,valence,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness
512,Blueming,아이유,2019.11.18,록/메탈,"2,727","352,429",2,"752,979",48,3.61755,106.032,4,0,1,0.682,0.819,0.674,-3.145,0.0587,0.0849,0.0,0.0667
513,신호등,이무진,2021.05.14,록/메탈,"3,109","294,625",2,"55,660",47,3.859783333,97.026,4,6,0,0.545,0.609,0.717,-3.547,0.0597,0.0965,0.0,0.0694
514,한 페이지가 될 수 있게,DAY6 (데이식스),2019.07.15,록/메탈,"2,225","180,691",2,"130,248",65,2.83155,145.03,4,2,1,0.324,0.499,0.679,-4.001,0.0308,0.0166,0.0,0.3
515,예뻤어,DAY6 (데이식스),2017.02.06,록/메탈,"3,669","223,714",3,"130,248",63,4.719333333,167.925,4,5,0,0.418,0.458,0.617,-3.464,0.0331,0.0649,0.0,0.109
516,strawberry moon,아이유,2021.10.19,록/메탈,657,"221,275",2,"752,979",46,3.422216667,169.796,4,6,1,0.443,0.475,0.712,-3.306,0.0431,0.138,0.0,0.0936
517,에잇(Prod.&Feat. SUGA of BTS),아이유,2020.05.06,록/메탈,"10,040","389,983",2,"752,979",49,2.792883333,120.029,4,1,1,0.594,0.676,0.869,-1.573,0.0423,0.115,0.0,0.132
518,꽃송이가,버스커 버스커,2012.03.29,록/메탈,151,"97,216",0,"62,811",47,3.380516667,119.996,4,11,1,0.847,0.701,0.873,-4.622,0.105,0.263,0.0,0.0954
519,여행,볼빨간사춘기,2018.05.24,"인디음악, 록/메탈","1,704","290,029",2,"268,002",61,2.466666667,119.972,4,7,0,0.474,0.865,0.19,-21.619,0.0623,0.844,0.0131,0.677
520,"스물다섯, 스물하나",자우림,2013.10.14,록/메탈,741,"215,367",1,"39,726",33,4.745333333,156.904,4,0,1,0.15,0.245,0.504,-6.337,0.0325,0.184,0.000373,0.149
521,널 떠올리는 중이야,PATEKO (파테코),2021.07.25,"인디음악, 록/메탈",120,"55,024",0,"10,806",50,3.25625,80.013,4,4,1,0.491,0.658,0.389,-6.375,0.0257,0.807,0.0,0.682
522,사랑했나봐,윤도현,2005.04.29,록/메탈,299,"115,260",0,"18,423",44,3.981333333,93.983,4,9,1,0.544,0.702,0.534,-6.102,0.0282,0.444,0.0,0.108
523,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,잔나비,2014.08.28,"인디음악, 록/메탈",490,"182,306",0,"141,925",58,3.360883333,176.176,4,2,0,0.692,0.613,0.642,-6.052,0.034,0.14,0.0,0.11
524,시작,가호 (Gaho),2020.02.01,"록/메탈, 국내드라마","2,326","244,236",2,"10,606",46,3.374,108.107,4,4,1,0.574,0.591,0.818,-3.532,0.073,0.172,0.0,0.126
525,No Celestial,LE SSERAFIM (르세라핌),2022.10.17,록/메탈,411,"47,364",0,"47,876",51,2.77485,138.028,4,7,1,0.699,0.618,0.801,-2.905,0.0825,0.0168,0.0,0.131
526,Endless,허각,2023.02.09,록/메탈,28,"8,361",0,"54,520",31,2.590116667,82.016,4,2,0,0.629,0.635,0.748,-5.458,0.0597,0.0362,3.33e-06,0.0755
527,뜨거운 여름밤은 가고 남은 건 볼품없지만,잔나비,2016.08.04,"인디음악, 록/메탈",894,"184,916",4,"141,925",43,4.05,79.0,4,5,0,0.327,0.495,0.624,-4.03,0.0265,0.438,0.000424,0.292
528,Monologue,버즈,2003.10.10,록/메탈,391,"81,647",1,"61,236",42,4.364883333,78.967,4,1,0,0.375,0.481,0.745,-3.355,0.0449,0.178,0.0,0.321
529,낙하 (with 아이유),AKMU (악뮤),2021.07.26,록/메탈,"1,318","180,608",1,"228,979",48,3.546783333,100.923,4,10,0,0.499,0.816,0.636,-6.95,0.101,0.0732,2.81e-05,0.118
530,Love poem,아이유,2019.11.01,록/메탈,"3,052","339,583",0,"752,979",35,4.303983333,119.994,4,11,1,0.273,0.404,0.467,-5.276,0.0413,0.74,0.0,0.106
531,Drive,미연 ((여자)아이들),2022.04.27,록/메탈,384,"58,783",4,"12,601",48,4.03355,143.875,4,10,1,0.137,0.561,0.431,-8.81,0.0578,0.768,1.42e-05,0.106
532,기억을 걷는 시간,넬 (NELL),2008.06.03,록/메탈,342,"159,681",0,"61,592",84,5.212733333,89.007,4,7,0,0.554,0.702,0.32,-10.391,0.0432,0.561,0.0,0.0996
533,남자를 몰라,버즈,2006.04.24,록/메탈,252,"96,200",1,"61,236",47,4.21845,169.79,4,11,0,0.249,0.269,0.824,-5.455,0.0684,0.202,4.43e-06,0.946
534,옥탑방 (Rooftop),엔플라잉 (N.Flying),2019.01.02,록/메탈,"6,653","282,430",3,"39,789",63,3.510866667,96.989,4,0,1,0.915,0.692,0.9,-2.188,0.051,0.532,0.0,0.235
535,The Astronaut,진,2022.10.28,록/메탈,"1,948","59,542",2,"132,803",40,4.707716667,124.988,4,5,1,0.215,0.54,0.761,-5.356,0.0311,0.00446,2.5e-06,0.137
536,비와 당신,이무진,2021.06.18,"록/메탈, 국내드라마",545,"111,327",2,"55,660",18,4.485316667,131.303,4,7,1,0.183,0.293,0.478,-5.996,0.0329,0.492,1.58e-05,0.747
537,봄 to 러브,10CM,2022.04.23,"록/메탈, 국내드라마",64,"39,976",1,"181,690",49,3.550333333,92.109,4,9,1,0.252,0.472,0.517,-5.267,0.0283,0.191,0.0,0.127
538,가시,버즈,2005.03.03,록/메탈,295,"112,599",1,"61,236",28,4.025116667,144.0,4,4,1,0.177,0.473,0.596,-5.819,0.0329,0.0408,0.0,0.126
539,비밀번호 486,윤하 (YOUNHA),2007.03.15,록/메탈,170,"82,088",1,"118,496",50,3.80255,136.926,4,9,1,0.726,0.622,0.882,-2.886,0.105,0.0867,0.0,0.0931
540,안아줘,정준일,2011.11.23,"인디음악, 록/메탈",235,"228,609",1,"56,911",35,2.894883333,93.983,4,3,1,0.657,0.828,0.537,-4.343,0.0386,0.766,1.41e-06,0.113
541,사랑의 바보,더 넛츠 (The NuTs),2004.07.27,록/메탈,139,"85,099",1,"3,050",39,4.3605,117.956,4,0,1,0.5,0.626,0.657,-5.535,0.0424,0.0623,0.0,0.218
