,titles,artists,release_date,genres,num_comments,num_likes,num_promos,follower_counts,lyric_lengths
67,Permission to Dance,방탄소년단,2021.07.09,댄스,"4,367","221,010",2,"708,495",77
68,그라데이션,10CM,2022.07.03,"인디음악, 포크/블루스",402,"140,734",4,"181,654",35
69,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),2022.04.20,R&B/Soul,758,"205,080",0,"74,547",69
70,Pink Venom,BLACKPINK,2022.09.16,랩/힙합,"3,099","154,134",2,"235,009",99
71,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),2022.07.09,발라드,893,"127,526",1,"5,455",50
72,봄 사랑 벚꽃 말고,HIGH4 (하이포),2014.04.08,발라드,417,"219,197",2,"2,128",57
73,Say My Name,Say Yes!,2023.04.06,댄스,934,"20,947",0,930,96
74,ELEVEN,IVE (아이브),2021.12.01,댄스,"1,620","179,602",2,"70,243",58
75,FEARLESS,LE SSERAFIM (르세라핌),2022.05.02,댄스,"1,823","105,913",3,"47,836",85
76,다정히 내 이름을 부르면,경서예지,2021.05.19,발라드,327,"167,500",2,"7,227",56
77,Unholy,Sam Smith,2022.09.22,POP,218,"48,608",0,"79,935",63
78,Poppy (Korean Ver.),STAYC(스테이씨),2023.02.03,댄스,484,"35,954",1,"48,134",71
79,오르트구름,윤하 (YOUNHA),2021.11.16,록/메탈,703,"89,157",0,"118,488",62
80,사랑하지 않아서 그랬어,임한별,2023.04.02,발라드,60,"6,517",2,"18,707",38
81,사랑이라 믿었던 것들은 (Feat. 이수현),BIG Naughty (서동현),2023.02.28,R&B/Soul,220,"37,268",2,"74,548",74
82,Sugar Rush Ride,투모로우바이투게더,2023.01.27,댄스,"5,633","97,604",4,"139,357",72
83,벚꽃 엔딩,버스커 버스커,2012.03.29,록/메탈,"2,270","334,046",1,"62,816",51
84,Rush Hour (Feat. j-hope of BTS),Crush,2022.09.22,R&B/Soul,609,"110,322",4,"206,632",60
85,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,2018.03.20,"발라드, 국내드라마","1,073","418,652",0,"160,523",29
86,나의 X에게,경서,2022.04.24,발라드,337,"140,936",2,"15,690",54
87,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지,2022.12.17,랩/힙합,608,"92,350",0,"32,765",137
88,그대를 알고,송하예,2022.12.13,발라드,93,"35,171",1,"16,404",34
89,아모르 파티,이홍기 (FT아일랜드),2023.03.22,성인가요/트로트,114,"7,634",0,"11,129",45
90,Off My Face,Justin Bieber,2021.10.08,POP,280,"162,067",1,"92,168",39
91,That That (prod. & feat. SUGA of BTS),싸이 (PSY),2022.04.29,댄스,"1,249","133,382",3,"49,697",94
92,잘가요,주호,2022.12.04,발라드,155,"35,205",1,"6,525",32
93,딱 10CM만,10CM,2022.09.25,R&B/Soul,337,"106,131",1,"181,654",65
94,그대라는 사치,임창정,2023.03.12,발라드,61,"8,554",0,"90,450",46
95,Face-off,지민,2023.03.24,랩/힙합,253,"28,869",0,"142,945",58
96,발걸음,DK(디셈버),2023.03.30,발라드,43,"4,273",2,"6,221",34
97,우연히 봄,로꼬,2015.04.08,"발라드, 랩/힙합, 국내드라마",742,"162,161",3,"116,172",86
98,Golden Hour,마크 (MARK),2023.04.07,랩/힙합,692,"23,983",2,"46,614",91
99,혼자가 아닌 나,정효빈,2023.03.01,발라드,48,"13,211",1,"7,740",36
